d10_1016_j_ccell_2022_02_013,GSE164522
d10_1016_j_cell_2021_08_003,GSE178341
d10_15252_emmm_202114123,GSE166555
d10_15252_emmm_202114123,GSE166556
d10_1016_j_xcrm_2021_100353,HRA000919
d10_1016_j_ccell_2020_09_015,HRA000201
d10_1038_s41588_020_0636_z,GSE132465
d10_1038_s41588_020_0636_z,GSE132257
d10_1038_s41588_020_0636_z,GSE144735
d10_1016_j_cell_2020_03_048,GSE146771
d10_1038_s41597_019_0131_5,GSE108989
d10_1126_science_aao3791,GSE97693
d10_1038_ng_3818,GSE81861
d10_1016_j_cell_2020_06_001,GSE144469
d10_1016_j_cell_2020_06_001,GSM4288826
d10_1038_s41385_018_0126_0,GSE140123
d10_1016_j_jcmgh_2022_02_007,GSE185224
d10_1016_j_cell_2020_12_016,GSE158328
d10_1186_s13059_020_02210_0,GSE159929
d10_1038_s41591_020_1003_4,GSE148837
d10_1126_sciimmunol_abb4432,GSE125527
d10_1038_s41586_020_2157_4,GSE134355
d10_1084_jem_20191130,GSE125970
d10_1016_j_cell_2019_08_008,GSE134809
d10_1016_j_cell_2019_06_029,SCP259
d10_1038_s41586_019_0992_y,GSE116222
d10_1016_j_cell_2018_08_067,GSE95459
d10_1016_j_cell_2018_08_067,GSE114374
d10_1158_0008_5472_CAN_20_3562,GSE167262
d10_1038_s41588_020_0645_y,GSE144357
d10_1038_s41586_018_0409_3,GSE114462
d10_1038_nmeth_2694,GSE51254
d10_1158_0008_5472_CAN_21_0933,GSE193248
